Student_ID,Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks
S001,5.0,61.3,78.9,47.3,86.3
S002,9.6,85.5,53.8,68.9,98.7
S003,7.9,72.6,57.3,69.3,95.6
S004,6.8,80.3,90.4,73.7,100.0
S005,3.2,96.3,77.3,77.7,95.1
S006,3.2,70.0,50.4,88.9,85.2
S007,2.5,76.4,54.6,68.2,79.4
S008,8.9,90.2,79.9,59.5,100.0
S009,6.8,69.2,50.2,80.8,88.4
S010,7.7,63.1,57.2,57.2,94.6
S011,2.2,71.6,74.7,64.8,77.2
S012,9.8,66.4,81.1,48.5,90.2
S013,8.7,97.2,79.3,46.1,100.0
S014,3.7,92.3,60.1,88.3,96.8
S015,3.5,85.3,82.0,82.6,97.7
S016,3.5,94.9,60.7,76.3,92.1
S017,4.4,92.1,64.6,63.4,87.7
S018,6.2,67.5,83.6,52.8,84.8
S019,5.5,95.7,79.2,52.0,91.2
S020,4.3,81.6,88.2,56.3,86.1
S021,6.9,92.3,79.6,69.7,100.0
S022,3.1,95.8,75.6,77.2,92.2
S023,4.3,72.7,54.2,74.7,81.7
S024,4.9,64.4,66.5,57.6,80.6
S025,5.6,69.1,61.9,88.0,95.7
S026,8.3,77.1,61.0,78.2,96.5
S027,3.6,92.7,93.8,69.9,92.2
S028,6.1,94.4,67.7,72.5,97.4
S029,6.7,60.3,90.1,63.9,94.7
S030,2.4,80.4,78.4,56.1,79.3
S031,6.9,76.7,85.8,61.0,93.5
S032,3.4,68.9,72.6,79.1,89.0
S033,2.5,64.8,76.0,45.6,68.4
S034,9.6,73.5,72.2,50.2,88.7
S035,9.7,97.7,58.8,47.1,92.1
S036,8.5,72.9,82.5,46.8,92.0
S037,4.4,80.8,62.6,83.5,93.3
S038,2.8,88.1,51.1,76.7,90.1
S039,7.5,74.5,79.0,66.3,100.0
S040,5.5,98.9,58.0,49.4,84.7
S041,3.0,98.5,92.3,67.1,93.7
S042,6.0,70.1,92.9,66.3,91.4
S043,2.3,79.9,91.2,52.8,82.9
S044,9.3,72.0,66.7,64.5,95.7
S045,4.1,71.4,50.7,62.9,80.5
S046,7.3,61.5,91.8,72.7,95.6
S047,4.5,84.4,69.3,73.6,93.3
S048,6.2,80.1,93.5,47.0,97.5
S049,6.4,62.1,93.4,61.9,93.0
S050,3.5,71.1,88.4,73.2,92.3
S051,9.8,96.3,63.3,67.6,100.0
S052,8.2,69.6,67.3,83.5,98.9
S053,9.5,65.8,88.3,74.6,100.0
S054,9.2,79.6,64.3,52.3,93.4
S055,6.8,99.4,57.6,48.2,88.5
S056,9.4,69.7,75.1,73.9,99.0
S057,2.7,86.9,92.1,46.2,83.4
S058,3.6,90.5,81.3,71.4,94.4
S059,2.4,69.5,75.7,87.3,95.2
S060,4.6,89.1,54.4,70.9,91.6
S061,5.1,74.7,77.7,62.5,97.6
S062,4.2,85.3,94.6,73.9,94.0
S063,8.6,85.3,56.3,65.6,99.1
S064,4.9,81.4,73.3,69.6,91.9
S065,4.2,63.6,89.5,87.4,100.0
S066,6.3,93.4,83.3,62.4,93.9
S067,3.1,72.8,81.4,88.3,90.2
S068,8.4,67.5,81.6,85.7,100.0
S069,2.6,61.6,66.2,53.8,65.7
S070,9.9,83.6,63.2,48.1,92.0
S071,8.2,87.1,86.4,49.5,93.8
S072,3.6,60.7,86.5,45.8,79.4
S073,2.0,80.5,89.0,49.2,81.9
S074,8.5,69.1,91.1,75.7,100.0
S075,7.7,85.8,73.0,48.2,95.3
S076,7.8,67.0,72.6,59.4,89.5
S077,8.2,87.6,85.9,83.0,100.0
S078,2.6,75.5,79.2,46.0,79.5
S079,4.9,97.5,81.6,81.7,95.5
S080,2.9,65.5,85.8,57.7,89.3
S081,8.9,73.6,90.1,50.3,100.0
S082,7.0,64.5,65.2,76.4,91.6
S083,4.6,97.0,66.9,73.3,86.4
S084,2.5,95.1,54.2,84.5,93.8
S085,4.5,70.3,76.0,78.1,91.2
S086,4.6,86.4,51.6,81.2,95.1
S087,7.8,92.7,71.0,57.7,89.6
S088,7.1,82.2,74.4,53.0,88.9
S089,9.1,81.2,62.9,78.8,100.0
S090,5.8,69.7,76.6,81.3,96.2
S091,3.0,63.7,51.4,89.6,82.6
S092,7.7,95.9,51.7,63.6,96.1
S093,8.1,96.0,87.0,61.7,98.5
S094,6.5,85.3,66.2,79.9,97.3
S095,8.2,73.6,55.7,60.3,90.7
S096,6.0,74.0,73.5,86.9,100.0
S097,6.2,89.0,84.6,83.6,100.0
S098,5.4,95.9,59.7,64.3,85.6
S099,2.2,95.5,78.0,78.8,85.5
S100,2.9,91.2,53.8,79.0,91.7
